x y z
0.164062 0.023438 0.019592
0.164062 0.039062 0.032654
0.164062 0.054688 0.045715
0.164062 0.070312 0.058777
0.164062 0.085938 0.071838
0.164062 0.101562 0.084900
0.164062 0.117188 0.097961
0.164062 0.132812 0.111023
0.164062 0.148438 0.124084
0.164062 0.164062 0.137146
0.164062 0.179688 0.134583
0.164062 0.195312 0.132019
0.164062 0.210938 0.129456
0.164062 0.226562 0.126892
0.164062 0.242188 0.124329
0.164062 0.257812 0.121765
0.164062 0.273438 0.119202
0.164062 0.289062 0.116638
0.164062 0.304688 0.114075
0.164062 0.320312 0.111511
0.164062 0.335938 0.108948
0.164062 0.351562 0.106384
0.164062 0.367188 0.103821
0.164062 0.382812 0.101257
0.164062 0.398438 0.098694
0.164062 0.414062 0.096130
0.164062 0.429688 0.093567
0.164062 0.445312 0.091003
0.164062 0.460938 0.088440
0.164062 0.476562 0.085876
0.164062 0.492188 0.083313
0.164062 0.507812 0.080750
0.164062 0.523438 0.078186
0.164062 0.539062 0.075623
0.164062 0.554688 0.073059
0.164062 0.570312 0.070496
0.164062 0.585938 0.067932
0.164062 0.601562 0.065369
0.164062 0.617188 0.062805
0.164062 0.632812 0.060242
0.164062 0.648438 0.057678
0.164062 0.664062 0.055115
0.164062 0.679688 0.052551
0.164062 0.695312 0.049988
0.164062 0.710938 0.047424
0.164062 0.726562 0.044861
0.164062 0.742188 0.042297
0.164062 0.757812 0.039734
0.164062 0.773438 0.037170
0.164062 0.789062 0.034607
0.164062 0.804688 0.032043
0.164062 0.820312 0.029480
0.164062 0.835938 0.026917
0.164062 0.851562 0.024353
0.164062 0.867188 0.021790
0.164062 0.882812 0.019226
0.164062 0.898438 0.016663
0.164062 0.914062 0.014099
0.164062 0.929688 0.011536
0.164062 0.945312 0.008972
0.164062 0.960938 0.006409
0.164062 0.976562 0.003845
0.164062 0.992188 0.001282
0.179688 0.007812 0.006409
0.179688 0.023438 0.019226
0.179688 0.039062 0.032043
0.179688 0.054688 0.044861
0.179688 0.070312 0.057678
0.179688 0.085938 0.070496
0.179688 0.101562 0.083313
0.179688 0.117188 0.096130
0.179688 0.132812 0.108948
0.179688 0.148438 0.121765
0.179688 0.164062 0.134583
0.179688 0.179688 0.147400
0.179688 0.195312 0.144592
